,20/02/21 21:00:00,091.86,101.42,092.09,101.42,
,20/02/22 00:00:00,091.83,101.39,092.07,101.38,
,20/02/22 03:00:00,091.85,101.42,092.09,101.41,
,20/02/22 06:00:00,091.91,101.49,092.14,101.47,
,20/02/22 09:00:00,092.02,101.57,092.27,101.58,
,20/02/22 12:00:00,092.10,101.65,092.34,101.66,
,20/02/22 15:00:00,092.21,101.77,092.45,101.77,
,20/02/22 18:00:00,092.27,101.83,092.49,101.84,
,20/02/22 21:00:00,092.17,101.76,092.41,101.77,
,20/02/23 00:00:00,091.93,101.52,092.18,101.51,
,20/02/23 03:00:00,091.56,101.10,091.77,101.10,
,20/02/23 06:00:00,091.10,100.62,091.30,100.60,
,20/02/23 09:00:00,090.63,100.10,090.84,100.08,
,20/02/23 12:00:00,090.30,099.74,090.52,099.73,
,20/02/23 15:00:00,090.18,099.62,090.41,099.61,
,20/02/23 18:00:00,090.55,100.03,090.76,100.02,
,20/02/23 21:00:00,091.16,100.68,091.37,100.67,
,20/02/24 00:00:00,091.72,101.29,091.97,101.30,
,20/02/24 03:00:00,092.20,101.78,092.45,101.79,
,20/02/24 06:00:00,092.70,102.29,092.95,102.29,
,20/02/24 09:00:00,093.03,102.61,093.25,102.60,
,20/02/24 12:00:00,093.25,102.86,093.50,102.86,
,20/02/24 15:00:00,093.42,103.01,093.65,103.03,
,20/02/24 18:00:00,093.53,103.14,093.72,103.14,
,20/02/24 21:00:00,093.49,103.11,093.71,103.12,
